City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
397,Lorengau,PG,82.96,100,-2.0226,147.2712,Lorengau Harbourside Hotel
401,Lagunas,PE,76.98,100,-5.2269,-75.6753,Hospedaje Eco
411,Takoradi,GH,79.45,91,4.8845,-1.7554,Raybow International Hotel
413,Lucea,JM,78.66,9,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
416,Isla Vista,US,78.28,0,34.4133,-119.861,Best Western Plus South Coast Inn
421,Dangriga,BZ,76.96,50,16.9692,-88.2321,Chaleanor Hotel
425,Itamaraca,BR,82.45,18,-7.7478,-34.8256,Special K's Bed & Breakfast
432,Xai-Xai,MZ,75.61,28,-25.0519,33.6442,Complexo da Familia
434,Sola,VU,82.94,100,-13.8833,167.55,Leumerus Bungalows
437,Banjar,ID,82.26,94,-8.19,114.9675,The Hamsa Resort
445,Cururupu,BR,75.2,79,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
446,Ugoofaaru,MV,80.1,66,5.6667,73.0,Ungoofaaru Inn
449,Vao,NC,80.71,70,-22.6667,167.4833,Hotel Kou-Bugny
451,Nanakuli,US,84.15,20,21.3906,-158.1547,Camp Pālehua
452,Minna,NG,78.75,1,9.6139,6.5569,Royal Park hotel & suites
453,La Union,PE,78.08,54,-5.4,-80.75,Los Portales
454,Kirakira,SB,84.69,98,-10.4544,161.9205,SanBiz Lodge
459,Bac Lieu,VN,77.56,95,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
462,Bobo Dioulasso,BF,79.25,0,11.1771,-4.2979,RAN Hotel Somketa
470,Rayong,TH,76.98,93,12.8333,101.4333,Suan Palm Garden View Hotel
474,Cap Malheureux,MU,79.29,90,-19.9842,57.6142,Pereybere Hotel & Spa
480,Olinda,BR,82.13,40,-8.0089,-34.8553,Hotel Albergue de Olinda
491,Tiarei,PF,86.02,37,-17.5333,-149.3333,Le Rocher de Tahiti
493,Axim,GH,78.39,85,4.8699,-2.2405,Axim Beach Resort And Spa
494,Port Hueneme,US,81.52,20,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
505,Pandan,PH,77.65,90,14.0453,124.1694,Bonifacio Lodge
509,Kilindoni,TZ,81.12,100,-7.9139,39.6668,Bustani B&B
